reflection-with-a-suburban-rug	Reflexo com Tapete de Subúrbio / Reflection With a Suburban Rug	diversos,interiores,obras-disponíveis,tapetes	2004	Oil on canvas & frame	Óleo s/tela e moldura	46 cm x 46 cm	Coleção Particular / Private Collection
the-gallery	A Galeria / The Gallery	interiores,homenagem	1992	Oil and collage on canvas & passepartout	Óleo e colagem s/tela e passepartout	45 cm x 42 cm	Coleção Particular / Private Collection
ahwahnee	Ahwahnee	diversos, homenagem, tapetes	1992	Óleo s/tela e moldura	Oil on canvas	43 cm x 34 cm	Coleção Particular / Private Collection
pedro-paulo-with-dachhund	Pedro Paulo c/ Bassê / Pedro Paulo with Dachhund	homenagem, interiores	1991	Óleo s/tela s/eucatex e moldura	Oil on canvas on masonite	44 cm x 30 cm	Coleção Particular / Private Collection
sincretissimo	Sincretíssimo	diversos	2002	Oil on canvas	Óleo sobre tela	45 cm x 42 cm	Coleção Particular / Private Collection
fans	Leques / Fans	 diversos, obras-disponíveis	2006	Óleo e colagem s/caixa de madeira	Oil & collage on woodbox	73,5 cm x 48,5 cm	
here-we-come-again-i	Oi nóis aqui ‘tra véis I !!! / Here we come again I !!!	diversos,homenagem	1994	Oil on canvas & frame	Óleo s/tela e moldura	73.5 cm x 63.5 cm	Doado para o Museu do Holocausto de Curitiba/ Donated to the Holocaust Museum in Curitiba, Paraná, Brasil
hora	Hora	diversos,obras-disponíveis,tapetes	2007,2008	Oil on canvas and frame and carpet gluing	Óleo s/tela e moldura c/colagem de tapete	80 cm x 65 cm	
flowered-quilt	A Flowered Quilt	tapetes,diversos, interiores, 	2008	Oil on canvas on masonite and frame / Private Collection	Óleo s/tela s/eucatex e moldura	65,5 cm X 58,5 cm	Coleção Particular/Private Collection
am-i-dreaming	Estarei Sonhando / Am I Dreaming?	bible, obras-disponiveis,interiores	1995	Oil & collage on canvas & frame	Óleo e colagem s/tela e moldura	80 cm x 63 cm	
salvation-of-moses	A Salvação de Moisés / The Salvation of Moses	bible	1994	Oil on canvas	Óleo s/tela	35 cm x 45 cm	
the-park	O Parque / The Park	bible	1999	Oil on canvas & frame	Óleo s/tela e moldura	44 cm x 34 cm	Coleção Particular / Private Collection
the-flood	O Dilúvio / The Flood	bible,obras-disponiveis	1993	Oil on canvas & frame	Óleo s/tela e moldura	56 cm x 36 cm	
here-we-come-again-ii	Oi nóis aqui ‘tra véis II !!! / Here we come again II !!!	diversos,homenagem	1996	Oil on canvas & frame	Óleo s/tela e moldura	73.5 cm x 63.5 cm	Coleção Particular / Private Collection
time-will-tell	Time will Tell	diversos,obras-disponíveis	1992	Oil on canvas with an antique frame	Óleo s/tela com moldura antiga	34 cm x 24 cm	
5-o-clock	5 o'clock Tea	diversos,obras-disponíveis	1992	Oil & sewing on canvas	Óleo e costura s/tela	50 cm x 60 cm	
destruction-of-sodoma	A Destruição de Sodoma / The Destruction of Sodoma	bible	1993	oil on canvas & frame	óleo s/tela e moldura	69 cm. X 38.5 cm.	Coleção Particular / Private Collection
12-tribes	As 12 Tribos / The 12 Tribes	bible,obras-disponiveis	1994	Óleo s/tela com moldura antiga	Oil on canvas with an ancient frame	34 cm x 44 cm	
room-with-a-view	Room with a View	interiores,praia	1991	oil on canvas & frame	óleo s/tela e moldura	41 cm x 54 cm	Coleção Particular / Private Collection
manguinhos-revisited	Manguinhos Revisited	interiores,praia	1991	Oil on canvas	Óleo s/tela	50 cm x 40 cm	Coleção Particular / Private Collection
the-ahwahnee	THE AHWAHNEE	 Diversos,Homenagem	1992	oil on canvas & frame	óleo s/tela e moldura	43 cm x 34 cm	Coleção Particular / Private Collection
living-room-with-fireplace	Sala da Lareira / Living-room with Fireplace	interiores	1992	Oil and collage on canvas & frame	Óleo e colagem s/tela e moldura	48 cm x 62 cm	Coleção Particular / Private Collection
le-déjeuner-est-servi	Le Déjeuner est Servi	interiores	1992	Oil & collage on canvas on masonite & frame	Óleo e colagem s/tela s/eucatex e moldura	53 cm x 43 cm	Coleção Particular / Private Collection
déjeuner-sur-l´herbe-tropical-(pardon-manet)	Déjeuner sur l´Herbe Tropical (Pardon, Manet)	homenagem	1992	Oil & collage on canvas on masonite & frame	Óleo e colagem s/tela s/eucatex e moldura	53 cm x 43 cm	Coleção Particular / Private Collection
freud-explains	Freud Explica / Freud Explains	homenagem,interiores,tapetes	1992	Oil & collage on canvas	Óleo e colagem s/tela	40 cm x 30 cm	Coleção Particular / Private Collection
living-room-in-TT	Sala de Estar em T.T. / Living Room in T.T.	interiores	1992	oil on canvas & frame	óleo s/tela e moldura	88 cm x 40 cm	Coleção Particular / Private Collection